iter	RMSE
0	0.6884813814
1	0.6629188461
2	0.6397968418
3	0.6197052638
4	0.6022100378
5	0.5867608681
6	0.571692324
7	0.5592553364
8	0.5475392251
9	0.5373709883
10	0.5274210593
11	0.5182308346
12	0.5107778529
13	0.5038524827
14	0.4975682949
15	0.4914022842
16	0.4865002552
17	0.4820088443
18	0.4773000912
19	0.4738850988
20	0.4709054312
21	0.4677859384
22	0.4651151169
23	0.4616130652
24	0.4584729335
25	0.4557956055
26	0.4538254947
27	0.4519140246
28	0.4492912975
29	0.4480353522
30	0.4466333715
31	0.4453054827
32	0.4438932713
33	0.442930452
34	0.4415530559
35	0.4405059393
36	0.439372644
37	0.4380111134
38	0.4370098457
39	0.4359000927
40	0.4345110567
41	0.4335870912
42	0.4322665532
43	0.431209315
44	0.4303615201
45	0.4296052609
46	0.4288380243
47	0.4280186965
48	0.4271208407
49	0.4264521203
50	0.4259633097
51	0.4250963763
52	0.4242221701
53	0.4234835482
54	0.4229389603
55	0.4223880994
56	0.4217598068
57	0.4214075573
58	0.4207544487
59	0.4202716118
60	0.4198105359
61	0.4193702308
62	0.4190264556
63	0.4185956997
64	0.4180603027
65	0.4176653214
66	0.4173454978
67	0.4171087937
68	0.4168977589
69	0.4164981956
70	0.4160300857
71	0.4157165779
72	0.4152364028
73	0.4146350303
74	0.4144135554
75	0.4141973839
76	0.4138480369
77	0.41342194
78	0.4131556839
79	0.4124846247
80	0.4121407442
81	0.4116848251
82	0.411354058
83	0.4110952659
84	0.4105397315
85	0.4103776378
86	0.4100643099
87	0.4097136443
88	0.4094285264
89	0.409124737
90	0.4087005145
91	0.4084164005
92	0.408087875
93	0.4078785057
94	0.4076891848
95	0.4074676224
96	0.4072615276
97	0.4069425034
98	0.4067255478
99	0.4065751616
100	0.4063895651
101	0.4061113206
102	0.4059695964
103	0.405786066
104	0.4056143245
105	0.405368927
106	0.4051248025
107	0.4049226407
108	0.4046157151
109	0.4043326822
110	0.404208464
111	0.4040632681
112	0.4038599553
113	0.4037261195
114	0.4035180193
115	0.4033279784
116	0.4032066621
117	0.4029563783
118	0.4028730977
119	0.4026264951
120	0.4023923247
121	0.4021776908
122	0.4019373679
123	0.4016504695
124	0.4014735118
125	0.4012682019
126	0.4012010872
127	0.4010286782
128	0.4007961253
129	0.4005986519
130	0.4005104608
131	0.4003526302
132	0.4002351346
133	0.4001423233
134	0.3999674329
135	0.3998017218
136	0.3995869716
137	0.3994113456
138	0.3993391068
139	0.3991546232
140	0.3988705237
141	0.3987412576
142	0.398499044
143	0.3983673041
144	0.3981869423
145	0.3980148522
146	0.3978565096
147	0.3976568071
148	0.3974555922
149	0.3972729886
150	0.397130278
151	0.3969367366
152	0.3967934413
153	0.3965492404
154	0.3963915722
155	0.3962098923
156	0.3961034201
157	0.396010853
158	0.395874361
159	0.3957349414
160	0.3955563209
161	0.3954000169
162	0.3953263108
163	0.3951620399
164	0.3950413342
165	0.3948922784
166	0.3947826371
167	0.3946959383
168	0.39455893
169	0.3943657764
170	0.3941833211
171	0.3940464657
172	0.3939414985
173	0.3938167805
174	0.3937134559
175	0.3935763771
176	0.3934342569
177	0.3933169803
178	0.3931731156
179	0.3930748117
180	0.3929561642
181	0.3928234864
182	0.3926963134
183	0.3925526912
184	0.3924581494
185	0.3922980044
186	0.3922164705
187	0.3920071906
188	0.3918130152
189	0.3917098312
190	0.3915359384
191	0.3914071318
192	0.3912392029
193	0.3911325862
194	0.3910183722
195	0.3908966964
196	0.390813482
197	0.390708952
198	0.3905819883
199	0.3904376374
200	0.3903327
201	0.3902300651
202	0.3900918012
203	0.3900105725
204	0.3898888849
205	0.3897582153
206	0.3896443122
207	0.3895358691
208	0.3894342802
209	0.3892955547
210	0.3891948213
211	0.3890331557
212	0.3889295571
213	0.3888083095
214	0.3887075087
215	0.3885836209
216	0.3884733136
217	0.3883946874
218	0.3883095366
219	0.3881651352
220	0.3880651177
221	0.3879866671
222	0.3878663209
223	0.387794665
224	0.3877280435
225	0.3876444584
226	0.3876028896
227	0.3875134173
228	0.3874394812
229	0.3873551216
230	0.3872533044
231	0.3871731409
232	0.3870359475
233	0.3869642606
234	0.3868893231
235	0.386794017
236	0.386665978
237	0.3866027087
238	0.3865136297
239	0.3864214413
240	0.3863544858
241	0.3862797342
242	0.3861879781
243	0.3861204717
244	0.3860080149
245	0.3859052242
246	0.3858055729
247	0.3857025409
248	0.3856007335
249	0.3855306099
250	0.3854823906
251	0.3853918163
252	0.3853069786
253	0.3852169206
254	0.3851437415
255	0.3850536601
256	0.3849484145
257	0.384827481
258	0.3847573136
259	0.3846748753
260	0.3845770325
261	0.3844930273
262	0.3844075137
263	0.3843299419
264	0.3842399299
265	0.3841803545
266	0.3841084317
267	0.3840525693
268	0.383966689
269	0.3839031889
270	0.3838540976
271	0.3837420284
272	0.3836842504
273	0.3835919146
274	0.3835142174
275	0.3834426002
276	0.3833953628
277	0.3833120637
278	0.3832707139
279	0.3832221766
280	0.3831123951
281	0.3830612936
282	0.3829888397
283	0.3829152826
284	0.3828370784
285	0.3827246047
286	0.3826607327
287	0.3826188258
288	0.3825447281
289	0.3824824628
290	0.3824337736
291	0.3823554041
292	0.3822997869
293	0.3822426535
294	0.3821691602
295	0.3821069911
296	0.3820204423
297	0.3819862215
298	0.381922305
299	0.3818577412
300	0.3817943742
301	0.3817436217
302	0.3817036857
303	0.3816324206
304	0.3815793179
305	0.3815170159
306	0.38146739
307	0.3814038569
308	0.3813619208
309	0.3812963077
310	0.3812079486
311	0.3811641886
312	0.3811204043
313	0.3810555503
314	0.3809672444
315	0.3809112568
316	0.380799576
317	0.3807269365
318	0.3806718653
319	0.3806148714
320	0.3805454524
321	0.3804879089
322	0.3804089273
323	0.3803443123
324	0.3802860808
325	0.3802220323
326	0.3801590626
327	0.3800738507
328	0.3800170803
329	0.3799673703
330	0.379880124
331	0.3798139665
332	0.3797393819
333	0.3796960909
334	0.3796576778
335	0.3796182239
336	0.3795413112
337	0.379473964
338	0.3794262951
339	0.3793484054
340	0.3792987569
341	0.3792182547
342	0.3791616657
343	0.379083766
344	0.3790310511
345	0.3789503896
346	0.3789162683
347	0.3788441739
348	0.3788023275
349	0.3787379337
350	0.3786849773
351	0.3786453902
352	0.3785621216
353	0.3784639203
354	0.3784259642
355	0.3783668307
356	0.3783195436
357	0.3782729805
358	0.3782315549
359	0.3781846302
360	0.3781269423
361	0.3780759921
362	0.3780144948
363	0.3779678789
364	0.3778951668
365	0.3778352193
366	0.3777680522
367	0.3777292217
368	0.3776802227
369	0.3776236571
370	0.3775342541
371	0.3774605958
372	0.3773982242
373	0.37736151
374	0.3773048655
375	0.3772551144
376	0.377207231
377	0.3771311591
378	0.3770606105
379	0.3770282229
380	0.3769546401
381	0.3769302997
382	0.3769002458
383	0.3767976356
384	0.3767369456
385	0.3766863368
386	0.3766372073
387	0.3766054911
388	0.3765529307
389	0.3764694774
390	0.3764401461
391	0.3763922325
392	0.376354356
393	0.3763244144
394	0.3762557084
395	0.3762035262
396	0.376154155
397	0.3760788537
398	0.3760280677
399	0.3759561547
400	0.3759041341
401	0.3758759975
402	0.3758308226
403	0.3757985558
404	0.3757567318
405	0.3756928123
406	0.3756457954
407	0.375597235
408	0.3755413089
409	0.3755016649
410	0.3754749667
411	0.3754322179
412	0.3753964246
413	0.3753666582
414	0.3753120295
415	0.3752729115
416	0.3752155402
417	0.3751612367
418	0.3751184582
419	0.375085984
420	0.3750322343
421	0.3749763669
422	0.3749567126
423	0.3749178964
424	0.3748867154
425	0.3748500862
426	0.3748104935
427	0.3747724942
428	0.3747411432
429	0.3747006493
430	0.374636195
431	0.3745987084
432	0.3745333111
433	0.3744899263
434	0.3744184395
435	0.3743689336
436	0.3742784112
437	0.3742153571
438	0.3741587944
439	0.3741123388
440	0.3740259834
441	0.3739805836
442	0.3739395771
443	0.373901049
444	0.3738751589
445	0.3738453371
446	0.373805105
447	0.3737782547
448	0.3737065181
449	0.3736593839
450	0.3736144943
451	0.3735620391
452	0.373509657
453	0.3734678187
454	0.3734076008
455	0.3733618039
456	0.3733274985
457	0.3732789142
458	0.3732509819
459	0.3732105462
460	0.3731628956
461	0.3731123417
462	0.3730903353
463	0.3730367643
464	0.3729993525
465	0.3729711686
466	0.3728841472
467	0.3728486016
468	0.3727993616
469	0.3727535606
470	0.3727144439
471	0.3726783619
472	0.372631876
473	0.3725959848
474	0.372570682
475	0.3725373234
476	0.3725054887
477	0.3724739976
478	0.3724191384
479	0.3723511325
480	0.3722872514
481	0.3721871907
482	0.3721352864
483	0.37208773
484	0.3720382155
485	0.3720010892
486	0.371969492
487	0.3719314191
488	0.3719053587
489	0.3718582885
490	0.371808218
491	0.3717830724
492	0.3717532041
493	0.3717258248
494	0.3716686796
495	0.3716344475
496	0.3715910986
497	0.3715455413
498	0.3714901569
499	0.3714343686
500	0.3714115168
501	0.3713724715
502	0.3713339721
503	0.3712818318
504	0.3712532761
505	0.3712261301
506	0.3711616618
507	0.3711030515
508	0.3710423567
509	0.3709942444
510	0.3709607347
511	0.3709352254
512	0.370888895
513	0.3708660781
514	0.3708222185
515	0.3707812186
516	0.3707567287
517	0.3707141209
518	0.3706808031
519	0.3706157563
520	0.3705891499
521	0.3705294817
522	0.3704703049
523	0.3703949005
524	0.3703404519
525	0.3702751728
526	0.3702449156
527	0.3702158644
528	0.3701792971
529	0.3701550788
530	0.370116932
531	0.3700696144
532	0.3700291115
533	0.3699765081
534	0.3699386358
535	0.3698812461
536	0.3698278812
537	0.3697890459
538	0.36977119
539	0.3697355671
540	0.369708462
541	0.3696784315
542	0.3696366133
543	0.3696022384
544	0.3695498042
545	0.3695217225
546	0.3694878817
547	0.3694328461
548	0.369408416
549	0.3693733598
550	0.369335832
551	0.3692781404
552	0.3692437893
553	0.3692230272
554	0.3691858082
555	0.3691386948
556	0.3690793613
557	0.3690405826
558	0.3690199813
559	0.3689946235
560	0.368938933
561	0.3689047492
562	0.3688778775
563	0.3688487423
564	0.3688020858
565	0.3687796124
566	0.3687510321
567	0.3687000854
568	0.3686862248
569	0.3686330273
570	0.3685892191
571	0.3685405389
572	0.3685158971
573	0.3684704368
574	0.3684361264
575	0.3683931906
576	0.3683757067
577	0.3682918328
578	0.368264299
579	0.368246102
580	0.3682212229
581	0.368197323
582	0.3681813751
583	0.3681293001
584	0.3681138553
585	0.3680646853
586	0.3680390048
587	0.3679893992
588	0.3679532687
589	0.3679130291
590	0.3678549965
591	0.3678312581
592	0.3678089025
593	0.367782507
594	0.3677685991
595	0.3677399588
596	0.3676956941
597	0.3676047804
598	0.3675413235
599	0.3674778413
600	0.3674193731
601	0.367393996
602	0.3673371305
603	0.3672947985
604	0.3672762932
605	0.3672697696
606	0.3672344414
607	0.3672151349
608	0.3671897162
609	0.3671717513
610	0.3671421539
611	0.3671207375
612	0.3670554023
613	0.367029324
614	0.3669958641
615	0.3669629106
616	0.3669285333
617	0.3669037836
618	0.3668789831
619	0.3668468771
620	0.3668278621
621	0.3667996412
622	0.3667599832
623	0.3667430682
624	0.3666775008
625	0.3666542119
626	0.3666148301
627	0.3665714843
628	0.3665574967
629	0.3665334837
630	0.3664889361
631	0.366461994
632	0.3664450861
633	0.3664253204
634	0.3664096868
635	0.3663862872
636	0.3663528059
637	0.3663088753
638	0.3662819121
639	0.3662473163
640	0.3662269573
641	0.366200681
642	0.3661702641
643	0.3661250157
644	0.3660732179
645	0.3660408326
646	0.3660162069
647	0.3659988488
648	0.3659667019
649	0.3659366366
650	0.3658903152
651	0.3658327938
652	0.3657952633
653	0.365766032
654	0.3657187984
655	0.3656784085
656	0.3656376871
657	0.3656001633
658	0.3655644483
659	0.3655413787
660	0.3655159347
661	0.365487258
662	0.3654553969
663	0.3654359048
664	0.3654136363
665	0.3653759586
666	0.3653486969
667	0.36532027
668	0.3652808879
669	0.3652622361
670	0.3652330969
671	0.3652073325
672	0.3651670675
673	0.3651292428
674	0.365105505
675	0.3650763303
676	0.3650510245
677	0.3650123456
678	0.3649928788
679	0.3649702777
680	0.3649446494
681	0.3649142161
682	0.3648737819
683	0.3648468475
684	0.3648048057
685	0.3647793098
686	0.3647342804
687	0.3646895211
688	0.364657931
689	0.364623788
690	0.3645893695
691	0.3645469114
692	0.3645266133
693	0.3645042683
694	0.3644914161
695	0.3644536884
696	0.3644158738
697	0.3643713473
698	0.364329374
699	0.3642768929
700	0.3642489392
701	0.3642107186
702	0.3642012588
703	0.3641793612
704	0.3641669898
705	0.3641369656
706	0.3640860995
707	0.3640436067
708	0.3640209696
709	0.3639812172
710	0.363962749
711	0.363946172
712	0.3639077444
713	0.3638899333
714	0.3638695063
715	0.3638447438
716	0.3638223652
717	0.363795124
718	0.3637626284
719	0.3637368831
720	0.3636860403
721	0.3636668134
722	0.3636302538
723	0.3636166673
724	0.3635965057
725	0.363560701
726	0.3635331387
727	0.3635007433
728	0.3634745531
729	0.3634242179
730	0.3634059647
731	0.363356889
732	0.3633472331
733	0.3632845302
734	0.3632521957
735	0.3632155913
736	0.3631971003
737	0.3631598245
738	0.3631393345
739	0.3631204821
740	0.3631012549
741	0.3630809187
742	0.3630389295
743	0.3630120844
744	0.3629786263
745	0.3629518656
746	0.3629353403
747	0.3629140066
748	0.3628749616
749	0.3628497665
750	0.36281791
751	0.3627801258
752	0.3627386036
753	0.3626862967
754	0.3626334303
755	0.3626072244
756	0.3625701436
757	0.3625469507
758	0.362505033
759	0.3624446111
760	0.3624378163
761	0.3624181864
762	0.362381709
763	0.3623418298
764	0.3623103263
765	0.3622992361
766	0.3622814461
767	0.3622497044
768	0.3622225714
769	0.3622060641
770	0.3621817464
771	0.3621449487
772	0.3621088531
773	0.3620770771
774	0.3620525763
775	0.3620219241
776	0.3619886739
777	0.3619470484
778	0.3619339091
779	0.3619056738
780	0.3618784054
781	0.3618672969
782	0.3618503117
783	0.3618081746
784	0.3617771018
785	0.3617382179
786	0.361723261
787	0.3617150393
788	0.3616661404
789	0.3616434393
790	0.3616015864
791	0.3615681835
792	0.3615284786
793	0.3615073833
794	0.3614834509
795	0.3614634607
796	0.3614356436
797	0.3613861979
798	0.3613574039
799	0.3613259542
800	0.3613137748
801	0.3612870981
802	0.3612617217
803	0.3612302047
804	0.3611888476
805	0.3611546987
806	0.3611261911
807	0.3610977323
808	0.3610896686
809	0.3610453749
810	0.3610111703
811	0.3609938424
812	0.3609568905
813	0.3609267212
814	0.3608827897
815	0.3608392367
816	0.3608144399
817	0.360803703
818	0.3607669855
819	0.3607409773
820	0.360709946
821	0.3606762349
822	0.3606231915
823	0.3605773374
824	0.360540947
825	0.3605147811
826	0.3605065362
827	0.360465517
828	0.3604325145
829	0.3604053791
830	0.3603707682
831	0.3603510945
832	0.3603097824
833	0.3602963262
834	0.3602773328
835	0.360253086
836	0.3602364772
837	0.3602003202
838	0.3601686245
839	0.3601514363
840	0.3601302552
841	0.3601105268
842	0.360107164
843	0.3600826804
844	0.3600600244
845	0.3600212577
846	0.359990293
847	0.3599605776
848	0.3599036014
849	0.3598658456
850	0.359832763
851	0.3597979091
852	0.3597688707
853	0.3597539507
854	0.3597327652
855	0.3597205814
856	0.35967649
857	0.3596322891
858	0.3596134683
859	0.3595752624
860	0.3595466408
861	0.3595158454
862	0.3594870924
863	0.3594467147
864	0.3594265052
865	0.3593887689
866	0.3593709135
867	0.3593267406
868	0.3593034684
869	0.3592807357
870	0.3592615502
871	0.3592335939
872	0.3592147292
873	0.3591812318
874	0.3591452782
875	0.3591344003
876	0.3591169821
877	0.3590892753
878	0.3590657143
879	0.3590459939
880	0.3590073274
881	0.3589893326
882	0.3589504887
883	0.3589121605
884	0.3588716229
885	0.3588504217
886	0.3588255759
887	0.3587870869
888	0.3587698326
889	0.3587342707
890	0.3587001035
891	0.3586730148
892	0.3586406022
893	0.3586258116
894	0.3586136811
895	0.3585981804
896	0.3585625249
897	0.3585315959
898	0.3585039109
899	0.3584895479
900	0.3584558538
901	0.3584250236
902	0.3583973247
903	0.3583707125
904	0.3583543327
