iter	Passed	Remaining
0	62	62920
1	71	35502
2	76	25287
3	81	20364
4	88	17627
5	96	15954
6	102	14484
7	108	13498
8	116	12775
9	122	12104
10	130	11730
11	136	11198
12	139	10628
13	143	10104
14	146	9644
15	150	9236
16	153	8866
17	156	8538
18	160	8265
19	163	8013
20	166	7779
21	170	7571
22	173	7388
23	177	7233
24	181	7061
25	184	6903
26	187	6755
27	190	6627
28	194	6512
29	198	6404
30	201	6311
31	205	6202
32	208	6108
33	211	6020
34	215	5936
35	218	5860
36	221	5776
37	225	5713
38	228	5641
39	231	5564
40	235	5506
41	238	5440
42	242	5388
43	245	5326
44	248	5272
45	251	5221
46	254	5169
47	258	5122
48	261	5075
49	264	5032
50	267	4986
51	271	4947
52	274	4909
53	278	4877
54	281	4836
55	284	4802
56	288	4767
57	291	4731
58	294	4699
59	297	4665
60	301	4637
61	304	4608
62	307	4579
63	310	4546
64	314	4517
65	317	4489
66	320	4460
67	323	4435
68	326	4409
69	329	4382
70	332	4354
71	336	4331
72	339	4311
73	342	4288
74	346	4268
75	348	4242
76	352	4222
77	355	4199
78	358	4177
79	361	4155
80	364	4135
81	367	4119
82	370	4097
83	373	4073
84	376	4055
85	380	4038
86	383	4020
87	386	4002
88	389	3985
89	392	3970
90	395	3955
91	398	3936
92	401	3920
93	405	3906
94	408	3891
95	411	3874
96	414	3857
97	417	3841
98	420	3825
99	423	3807
100	426	3798
101	429	3784
102	433	3775
103	437	3769
104	441	3764
105	445	3755
106	448	3742
107	451	3728
108	455	3720
109	459	3714
110	462	3701
111	465	3690
112	469	3682
113	472	3672
114	475	3661
115	479	3656
116	483	3648
117	487	3640
118	490	3630
119	494	3625
120	497	3614
121	501	3607
122	504	3598
123	508	3589
124	511	3580
125	515	3573
126	518	3562
127	522	3558
128	525	3550
129	529	3541
130	533	3539
131	537	3532
132	540	3522
133	545	3522
134	550	3525
135	553	3516
136	557	3509
137	560	3503
138	564	3493
139	568	3492
140	572	3485
141	575	3478
142	578	3469
143	582	3462
144	585	3454
145	590	3452
146	594	3448
147	597	3439
148	604	3451
149	608	3446
150	610	3435
151	614	3428
152	617	3418
153	621	3413
154	624	3406
155	631	3414
156	634	3409
157	638	3401
158	641	3395
159	646	3391
160	651	3393
161	655	3393
162	659	3385
163	663	3382
164	668	3383
165	672	3377
166	676	3376
167	680	3369
168	684	3366
169	688	3361
170	692	3357
171	696	3352
172	700	3347
173	703	3341
174	708	3338
175	712	3335
176	716	3331
177	720	3326
178	724	3320
179	727	3315
180	730	3307
181	735	3303
182	738	3296
183	742	3291
184	746	3286
185	749	3279
186	752	3272
187	755	3264
188	760	3262
189	763	3256
190	767	3252
191	771	3247
192	774	3240
193	778	3232
194	781	3227
195	785	3220
196	788	3213
197	792	3208
198	796	3206
199	800	3203
200	803	3195
201	806	3187
202	810	3180
203	812	3171
204	816	3164
205	819	3158
206	822	3151
207	826	3145
208	829	3137
209	833	3135
210	836	3128
211	839	3120
212	842	3112
213	845	3104
214	848	3097
215	851	3090
216	854	3084
217	857	3076
218	860	3069
219	863	3062
220	867	3056
221	870	3049
222	873	3043
223	876	3037
224	879	3029
225	882	3022
226	885	3016
227	888	3010
228	892	3003
229	894	2995
230	898	2991
231	901	2983
232	904	2976
233	907	2969
234	909	2962
235	912	2955
236	916	2949
237	918	2942
238	922	2936
239	925	2930
240	928	2924
241	931	2918
242	935	2914
243	938	2908
244	941	2902
245	945	2897
246	948	2892
247	951	2886
248	955	2880
249	958	2874
250	962	2871
251	966	2867
252	969	2862
253	972	2856
254	975	2850
255	979	2846
256	982	2841
257	987	2838
258	990	2833
259	993	2827
260	997	2823
261	1001	2819
262	1004	2815
263	1007	2810
264	1011	2805
265	1014	2799
266	1017	2794
267	1020	2788
268	1024	2782
269	1028	2779
270	1030	2772
271	1034	2769
272	1037	2763
273	1041	2758
274	1044	2753
275	1047	2748
276	1051	2744
277	1054	2738
278	1057	2733
279	1060	2728
280	1064	2723
281	1068	2719
282	1071	2715
283	1075	2710
284	1078	2705
285	1081	2700
286	1084	2695
287	1089	2692
288	1092	2687
289	1095	2681
290	1098	2677
291	1102	2672
292	1105	2666
293	1108	2660
294	1111	2655
295	1114	2649
296	1117	2644
297	1121	2642
298	1125	2638
299	1129	2635
300	1132	2630
301	1135	2625
302	1138	2619
303	1142	2614
304	1145	2609
305	1148	2604
306	1151	2599
307	1154	2594
308	1158	2590
309	1161	2585
310	1165	2581
311	1168	2576
312	1171	2570
313	1174	2565
314	1177	2560
315	1181	2556
316	1184	2551
317	1187	2546
318	1190	2541
319	1193	2536
320	1196	2531
321	1199	2526
322	1203	2523
323	1207	2519
324	1211	2515
325	1214	2510
326	1217	2506
327	1221	2502
328	1224	2497
329	1227	2492
330	1230	2487
331	1233	2482
332	1237	2478
333	1240	2473
334	1243	2468
335	1246	2464
336	1250	2459
337	1253	2454
338	1256	2449
339	1259	2445
340	1263	2441
341	1267	2438
342	1270	2433
343	1273	2428
344	1276	2424
345	1281	2421
346	1284	2418
347	1288	2413
348	1291	2408
349	1294	2404
350	1297	2399
351	1301	2395
352	1304	2390
353	1307	2386
354	1310	2381
355	1313	2376
356	1316	2371
357	1320	2367
358	1322	2362
359	1325	2356
360	1330	2354
361	1333	2350
362	1336	2345
363	1339	2341
364	1343	2336
365	1346	2332
366	1349	2327
367	1352	2322
368	1355	2318
369	1359	2313
370	1362	2309
371	1365	2305
372	1368	2300
373	1371	2295
374	1374	2290
375	1377	2285
376	1380	2281
377	1383	2277
378	1387	2272
379	1390	2268
380	1393	2263
381	1395	2257
382	1398	2253
383	1402	2249
384	1405	2244
385	1407	2239
386	1411	2235
387	1413	2230
388	1417	2225
389	1420	2222
390	1423	2217
391	1426	2212
392	1429	2208
393	1432	2203
394	1436	2199
395	1439	2195
396	1442	2190
397	1445	2186
398	1449	2183
399	1452	2178
400	1458	2178
401	1461	2174
402	1466	2172
403	1469	2167
404	1473	2164
405	1477	2161
406	1480	2157
407	1483	2153
408	1487	2149
409	1491	2145
410	1494	2141
411	1498	2138
412	1501	2134
413	1505	2130
414	1508	2126
415	1511	2122
416	1514	2118
417	1518	2113
418	1521	2109
419	1524	2105
420	1528	2101
421	1531	2098
422	1535	2094
423	1538	2090
424	1541	2086
425	1545	2082
426	1548	2078
427	1552	2074
428	1555	2070
429	1559	2067
430	1563	2064
431	1567	2060
432	1570	2056
433	1574	2053
434	1578	2050
435	1582	2046
436	1585	2042
437	1589	2038
438	1592	2034
439	1595	2030
440	1598	2026
441	1602	2022
442	1605	2018
443	1608	2014
444	1611	2009
445	1614	2005
446	1617	2000
